Temperature [K],Pressure [MPa],Liquid Density [kg/m3],Liquid Viscosity [Pa s],Liquid Thermal Conductivity [W/m K],Surface Tension [N/m],Vapour Density [kg/m3],Vapour Viscosity [Pa s],Vapour Thermal Conductivity [W/m K]
239.58131,1.2640288,1090.592,0.00017365926,0.14897932,0,32.81491,1.2100446e-05,0.013515548
240.46551,1.303234,1086.9475,0.00017120498,0.14791791,0,33.83585,1.2150941e-05,0.013627588
241.34971,1.3433283,1083.2788,0.00016878762,0.1468578,0,34.882899,1.2201859e-05,0.01374162
242.23392,1.384324,1079.5853,0.00016640639,0.14579894,0,35.956683,1.2253217e-05,0.013857724
243.11812,1.4262335,1075.8664,0.0001640605,0.14474128,0,37.057853,1.2305035e-05,0.013975981
244.00233,1.4690691,1072.1213,0.0001617492,0.14368479,0,38.187079,1.2357331e-05,0.014096481
244.88653,1.5128432,1068.3495,0.00015947171,0.14262942,0,39.345057,1.2410126e-05,0.014219317
245.77073,1.5575684,1064.5501,0.0001572273,0.14157512,0,40.532506,1.2463442e-05,0.014344586
246.65494,1.6032572,1060.7224,0.00015501522,0.14052183,0,41.750173,1.25173e-05,0.014472392
247.53914,1.6499223,1056.8658,0.00015283474,0.13946952,0,42.99883,1.2571724e-05,0.014602845
248.42335,1.6975764,1052.9792,0.00015068515,0.13841812,0,44.27928,1.2626738e-05,0.014736062
249.30755,1.7462323,1049.0619,0.00014856572,0.13736759,0,45.592358,1.2682368e-05,0.014872166
250.19175,1.7959029,1045.113,0.00014647577,0.13631786,0,46.938929,1.2738641e-05,0.015011286
